STATION,NAME,LATITUDE,LONGITUDE,STATE,COORD,COUNTY,ZIP
USC00461324,"CACAPON STATE PARK 2, WV US",39.5064,-78.3158,WV,"39.5064,-78.3158",Alamance County,27258
USC00442009,"CORBIN, VA US",38.2022,-77.3747,VA,"38.2022,-77.3747",Avery County,28604
USC00440187,"AMELIA COURTHOUSE 1, VA US",37.3451,-77.9781,VA,"37.3451,-77.9781",Pitt County,27834
USC00442245,"DANVILLE, VA US",36.5869,-79.3886,VA,"36.5869,-79.3886",New Hanover County,28409
USC00466212,"MORGANTOWN LOCK AND DAM, WV US",39.6203,-79.9698,WV,"39.6203,-79.9698",Beaufort County,27889
USC00467785,"ROWLESBURG 1, WV US",39.3419,-79.6697,WV,"39.3419,-79.6697",Lenoir County,28501
USC00464397,"HUNTINGTON SWG PLANT, WV US",38.4014,-82.5266,WV,"38.4014,-82.5266",Halifax County,27832
USC00465365,"LONDON LOCKS, WV US",38.1935,-81.3701,WV,"38.1935,-81.3701",Cabarrus County,28025
USC00440982,"BREAKS INTERSTATE PARK, VA US",37.2889,-82.2928,VA,"37.2889,-82.2928",Transylvania County,28712
USC00440860,"BOSTON 4 SE, VA US",38.5459,-78.0981,VA,"38.5459,-78.0981",Bertie County,27849
USC00440188,"AMELIA 8 NE, VA US",37.4255,-77.8915,VA,"37.4255,-77.8915",Hyde County,27960
USW00013880,"CHARLESTON INTL. AIRPORT, SC US",32.8986,-80.0402,SC,"32.8986,-80.0402",New Hanover County,28429
USC00445880,"MUSTOE 1 SW, VA US",38.3311,-79.6586,VA,"38.3311,-79.6586",Gaston County,28506
USC00387666,"SANDHILL RESEARCH, SC US",34.1419,-80.87,SC,"34.1419,-80.87",Davidson County,27295
USC00463072,"FLAT TOP, WV US",37.5894,-81.0925,WV,"37.5894,-81.0925",Rockingham County,27320
USW00013769,"OCEANA NAS, VA US",36.81667,-76.03333,VA,"36.81667,-76.03333",Mecklenburg County,28214
USW00013886,"GREENVILLE DOWNTOWN AIRPORT, SC US",34.84611,-82.34611,SC,"34.846109999999996,-82.34611",Macon County,28741
USW00013883,"COLUMBIA METROPOLITAN AIRPORT, SC US",33.9419,-81.1181,SC,"33.9419,-81.1181",Stanly County,28001
USW00013762,"FENTRESS NAVAL AUXILIARY FIELD, VA US",36.695,-76.13556,VA,"36.695,-76.13556",Virginia Beach (city),23328-6481
USC00461215,"BUCKEYE, WV US",38.1873,-80.1336,WV,"38.1873,-80.1336",Pocahontas County,24954
USC00461579,"CHARLESTON WSFO, WV US",38.3138,-81.7186,WV,"38.3138,-81.7186",Orange County,27516
USC00441825,"CLINTWOOD 1 W, VA US",37.1453,-82.4911,VA,"37.1453,-82.4911",Dare County,27954
USC00447925,"SOUTH BOSTON, VA US",36.6954,-78.8807,VA,"36.6954,-78.8807",Pasquotank County,27909
USC00440735,"BIG STONE GAP, VA US",36.8628,-82.7711,VA,"36.8628,-82.7711",Yancey County,28714
USC00443565,"GREENBAY 3 NE, VA US",37.1756,-78.2786,VA,"37.1756,-78.2786",Buncombe,28806
USC00446955,"PULASKI 2 E, VA US",37.0556,-80.7842,VA,"37.0556,-80.7842",Scotland County,28353
USC00468522,"STONEWALL JACKSON DAM, WV US",39.0046,-80.47399999999998,WV,"39.0046,-80.47399999999999",Alamance County,27215
