Zipcode,State,Lat,Long
26031,WV,40.01,-80.73
26032,WV,40.2,-80.56
26033,WV,39.82,-80.57
26034,WV,40.61,-80.56
26035,WV,40.34,-80.55
26036,WV,39.96,-80.55
26037,WV,40.33,-80.59
26038,WV,39.94,-80.75
26039,WV,39.83,-80.66
26040,WV,39.98,-80.73
26041,WV,39.92,-80.74
26047,WV,40.49,-80.6
26050,WV,40.61,-80.6
26055,WV,39.72,-80.75
26059,WV,40.05,-80.62
26060,WV,40.09,-80.57
26062,WV,40.4,-80.56
26070,WV,40.28,-80.6
26003,WV,40.07,-80.69
41503,KY,37.66,-82.29
37620,TN,36.56,-82.19
24210,VA,36.7,-81.96
24211,VA,36.7,-81.96
24517,VA,37.12,-79.28
24520,VA,36.56,-79.0
24521,VA,37.58,-79.05
24216,VA,36.9,-82.78
24522,VA,37.35,-78.82
24053,VA,36.6,-80.51
24311,VA,36.86,-81.39
24312,VA,36.82,-80.86
24054,VA,36.66,-79.71
24602,VA,37.14,-81.7
24313,VA,36.91,-80.8
24055,VA,36.76,-79.98
24314,VA,37.15,-81.15
24523,VA,37.32,-79.52
24059,VA,37.15,-80.11
24526,VA,37.53,-79.36
24603,VA,37.31,-82.22
24219,VA,36.86,-82.77
24220,VA,37.15,-82.23
24060,VA,37.23,-80.42
24221,VA,36.62,-83.05
24527,VA,36.68,-79.38
24315,VA,37.1,-81.11
24605,VA,37.23,-81.26
24064,VA,37.38,-79.82
24065,VA,37.11,-79.95
24201,VA,36.61,-82.16
24202,VA,36.61,-82.16
24316,VA,36.91,-81.66
24528,VA,37.05,-78.94
24066,VA,37.52,-79.68
24529,VA,36.6,-78.63
24530,VA,36.81,-79.58
24067,VA,37.01,-80.05
24317,VA,36.58,-80.66
24069,VA,36.56,-79.66
24224,VA,36.87,-82.28
24070,VA,37.38,-80.11
24609,VA,37.08,-81.76
24318,VA,37.01,-81.35
24531,VA,36.81,-79.39
24072,VA,37.05,-80.18
24319,VA,36.8,-81.68
24073,VA,37.14,-80.4
24076,VA,36.59,-80.42
24225,VA,36.94,-82.15
24226,VA,37.12,-82.33
24269,VA,37.08,-82.38
24228,VA,37.15,-82.45
24534,VA,36.83,-78.73
24077,VA,37.35,-79.9
24230,VA,36.94,-82.46
24536,VA,37.5,-79.33
24078,VA,36.72,-79.91
24538,VA,37.35,-78.98
24079,VA,37.08,-80.13
24322,VA,36.81,-81.1
24082,VA,36.63,-80.15
24323,VA,36.88,-81.18
24539,VA,36.85,-78.9
24083,VA,37.41,-79.92
24236,VA,36.63,-81.78
24237,VA,36.98,-82.29
24540,VA,36.58,-79.4
24541,VA,36.58,-79.4
24217,VA,37.08,-82.19
24239,VA,37.1,-82.13
24324,VA,37.0,-80.76
24243,VA,36.77,-82.94
24549,VA,36.75,-79.41
24084,VA,37.1,-80.68
24244,VA,36.71,-82.79
24325,VA,36.81,-80.61
24245,VA,36.82,-82.46
24085,VA,37.63,-79.8
24086,VA,37.28,-80.63
24326,VA,36.71,-81.18
24087,VA,37.21,-80.23
24550,VA,37.23,-79.28
24248,VA,36.63,-83.43
24613,VA,37.26,-81.33
